,Year,Currency,Value
0,2007 - 2008,Rs.,101231169.93
1,2007 - 2008,USD$,251654.01
2,2008 - 2009,Rs.,137443555.45
3,2008 - 2009,USD$,303696.31
4,2009 - 2010,Rs.,136373554.76
5,2009 - 2010,USD$,288372.88
6,2010 - 2011,Rs.,168346695.57
7,2010 - 2011,USD$,369769.13
8,2011 - 2012,Rs.,234546324.45
9,2011 - 2012,USD$,489319.49
10,2012 - 2013,Rs.,266916195.69
11,2012 - 2013,USD$,490736.65
12,2013 - 2014,Rs.,271543390.74
13,2013 - 2014,USD$,450199.79
14,2014 - 2015,Rs.,273708657.84
15,2014 - 2015,USD$,448033.41
16,2015 - 2016,Rs.,249030553.78
17,2015 - 2016,USD$,381007.76
18,2016 - 2017,Rs.,257767536.68
19,2016 - 2017,USD$,384357.03
20,2017 - 2018,Rs.,300103343.35
21,2017 - 2018,USD$,465580.99
